input_dec,output_q8_8_hex
1,0100
2,016A
3,01BB
4,0200
5,023C
6,0273
7,02A5
8,02D4
9,0300
10,0329
11,0351
12,0377
13,039B
14,03BE
15,03DF
16,0400
17,0420
18,043E
19,045C
20,0479
21,0495
22,04B1
23,04CC
24,04E6
25,0500
26,0519
27,0532
28,054B
29,0563
30,057A
31,0591
32,05A8
33,05BE
34,05D5
35,05EA
36,0600
37,0615
38,062A
39,063F
40,0653
41,0667
42,067B
43,068F
44,06A2
45,06B5
46,06C8
47,06DB
48,06ED
49,0700
50,0712
51,0724
52,0736
53,0748
54,0759
55,076A
56,077C
57,078D
58,079D
59,07AE
60,07BF
61,07CF
62,07E0
63,07F0
64,0800
65,0810
66,0820
67,082F
68,083F
69,084E
70,085E
71,086D
72,087C
73,088B
74,089A
75,08A9
76,08B8
77,08C6
78,08D5
79,08E3
80,08F2
81,0900
82,090E
83,091C
84,092A
85,0938
86,0946
87,0954
88,0961
89,096F
90,097D
91,098A
92,0997
93,09A5
94,09B2
95,09BF
96,09CC
97,09D9
98,09E6
99,09F3
100,0A00
101,0A0D
102,0A19
103,0A26
104,0A33
105,0A3F
106,0A4C
107,0A58
108,0A64
109,0A71
110,0A7D
111,0A89
112,0A95
113,0AA1
114,0AAD
115,0AB9
116,0AC5
117,0AD1
118,0ADD
119,0AE9
120,0AF4
121,0B00
122,0B0C
123,0B17
124,0B23
125,0B2E
126,0B3A
127,0B45
128,0B50
129,0B5B
130,0B67
131,0B72
132,0B7D
133,0B88
134,0B93
135,0B9E
136,0BA9
137,0BB4
138,0BBF
139,0BCA
140,0BD5
141,0BE0
142,0BEA
143,0BF5
144,0C00
145,0C0A
146,0C15
147,0C20
148,0C2A
149,0C35
150,0C3F
151,0C49
152,0C54
153,0C5E
154,0C69
155,0C73
156,0C7D
157,0C87
158,0C92
159,0C9C
160,0CA6
161,0CB0
162,0CBA
163,0CC4
164,0CCE
165,0CD8
166,0CE2
167,0CEC
168,0CF6
169,0D00
170,0D09
171,0D13
172,0D1D
173,0D27
174,0D31
175,0D3A
176,0D44
177,0D4D
178,0D57
179,0D61
180,0D6A
181,0D74
182,0D7D
183,0D87
184,0D90
185,0D9A
186,0DA3
187,0DAC
188,0DB6
189,0DBF
190,0DC8
191,0DD2
192,0DDB
193,0DE4
194,0DED
195,0DF6
196,0E00
197,0E09
198,0E12
199,0E1B
200,0E24
201,0E2D
202,0E36
203,0E3F
204,0E48
205,0E51
206,0E5A
207,0E63
208,0E6C
209,0E75
210,0E7D
211,0E86
212,0E8F
213,0E98
214,0EA1
215,0EA9
216,0EB2
217,0EBB
218,0EC3
219,0ECC
220,0ED5
221,0EDD
222,0EE6
223,0EEE
224,0EF7
225,0F00
226,0F08
227,0F11
228,0F19
229,0F22
230,0F2A
231,0F32
232,0F3B
233,0F43
234,0F4C
235,0F54
236,0F5C
237,0F65
238,0F6D
239,0F75
240,0F7E
241,0F86
242,0F8E
243,0F96
244,0F9E
245,0FA7
246,0FAF
247,0FB7
248,0FBF
249,0FC7
250,0FCF
251,0FD7
252,0FDF
253,0FE7
254,0FF0
255,0FF8
256,1000
257,1008
258,1010
259,1018
260,1020
261,1028
262,1030
263,1038
264,1040
265,1047
