Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
1,1,1,0,0.00 LSB,PASS
2,1.4142,1.4141,0.000151,0.04 LSB,PASS
3,1.7321,1.7305,0.001582,0.41 LSB,PASS
4,2,2,0,0.00 LSB,PASS
5,2.2361,2.2344,0.001693,0.43 LSB,PASS
6,2.4495,2.4492,0.000271,0.07 LSB,PASS
7,2.6458,2.6445,0.00122,0.31 LSB,PASS
8,2.8284,2.8281,0.000302,0.08 LSB,PASS
9,3,3,0,0.00 LSB,PASS
10,3.1623,3.1641,0.001785,0.46 LSB,PASS
11,3.3166,3.3164,0.000219,0.06 LSB,PASS
12,3.4641,3.4648,0.000742,0.19 LSB,PASS
13,3.6056,3.6055,0.000083,0.02 LSB,PASS
14,3.7417,3.7422,0.00053,0.14 LSB,PASS
15,3.873,3.8711,0.00189,0.48 LSB,PASS
16,4,4,0,0.00 LSB,PASS
17,4.1231,4.125,0.001894,0.48 LSB,PASS
18,4.2426,4.2422,0.000453,0.12 LSB,PASS
19,4.3589,4.3594,0.000476,0.12 LSB,PASS
20,4.4721,4.4727,0.00052,0.13 LSB,PASS
21,4.5826,4.582,0.000544,0.14 LSB,PASS
22,4.6904,4.6914,0.00099,0.25 LSB,PASS
23,4.7958,4.7969,0.001043,0.27 LSB,PASS
24,4.899,4.8984,0.000542,0.14 LSB,PASS
25,5,5,0,0.00 LSB,PASS
26,5.099,5.0977,0.001363,0.35 LSB,PASS
27,5.1962,5.1953,0.00084,0.22 LSB,PASS
28,5.2915,5.293,0.001466,0.38 LSB,PASS
29,5.3852,5.3867,0.001554,0.40 LSB,PASS
30,5.4772,5.4766,0.000663,0.17 LSB,PASS
31,5.5678,5.5664,0.001358,0.35 LSB,PASS
32,5.6569,5.6562,0.000604,0.15 LSB,PASS
33,5.7446,5.7461,0.001531,0.39 LSB,PASS
34,5.831,5.832,0.001079,0.28 LSB,PASS
35,5.9161,5.918,0.001889,0.48 LSB,PASS
36,6,6,0,0.00 LSB,PASS
37,6.0828,6.082,0.000731,0.19 LSB,PASS
38,6.1644,6.1641,0.000352,0.09 LSB,PASS
39,6.245,6.2461,0.001096,0.28 LSB,PASS
40,6.3246,6.3242,0.000337,0.09 LSB,PASS
41,6.4031,6.4023,0.00078,0.20 LSB,PASS
42,6.4807,6.4805,0.000272,0.07 LSB,PASS
43,6.5574,6.5586,0.001155,0.30 LSB,PASS
44,6.6332,6.6328,0.000437,0.11 LSB,PASS
45,6.7082,6.707,0.001173,0.30 LSB,PASS
46,6.7823,6.7812,0.00108,0.28 LSB,PASS
47,6.8557,6.8555,0.000186,0.05 LSB,PASS
48,6.9282,6.9297,0.001484,0.38 LSB,PASS
49,7,7,0,0.00 LSB,PASS
50,7.0711,7.0703,0.000755,0.19 LSB,PASS
51,7.1414,7.1406,0.000803,0.21 LSB,PASS
52,7.2111,7.2109,0.000165,0.04 LSB,PASS
53,7.2801,7.2812,0.00114,0.29 LSB,PASS
54,7.3485,7.3477,0.000813,0.21 LSB,PASS
55,7.4162,7.418,0.00177,0.45 LSB,PASS
56,7.4833,7.4844,0.00106,0.27 LSB,PASS
57,7.5498,7.5508,0.000947,0.24 LSB,PASS
58,7.6158,7.6172,0.001414,0.36 LSB,PASS
59,7.6811,7.6797,0.001458,0.37 LSB,PASS
60,7.746,7.7461,0.000127,0.03 LSB,PASS
61,7.8102,7.8086,0.001656,0.42 LSB,PASS
62,7.874,7.875,0.000992,0.25 LSB,PASS
63,7.9373,7.9375,0.000246,0.06 LSB,PASS
64,8,8,0,0.00 LSB,PASS
65,8.0623,8.0625,0.000242,0.06 LSB,PASS
66,8.124,8.125,0.000962,0.25 LSB,PASS
67,8.1854,8.1836,0.001759,0.45 LSB,PASS
68,8.2462,8.2461,0.000118,0.03 LSB,PASS
69,8.3066,8.3047,0.001936,0.50 LSB,PASS
70,8.3666,8.3672,0.000587,0.15 LSB,PASS
71,8.4261,8.4258,0.000369,0.09 LSB,PASS
72,8.4853,8.4844,0.000906,0.23 LSB,PASS
73,8.544,8.543,0.001035,0.26 LSB,PASS
74,8.6023,8.6016,0.000763,0.20 LSB,PASS
75,8.6603,8.6602,0.000098,0.03 LSB,PASS
76,8.7178,8.7188,0.000952,0.24 LSB,PASS
77,8.775,8.7734,0.001527,0.39 LSB,PASS
78,8.8318,8.832,0.00027,0.07 LSB,PASS
79,8.8882,8.8867,0.001476,0.38 LSB,PASS
80,8.9443,8.9453,0.001041,0.27 LSB,PASS
81,9,9,0,0.00 LSB,PASS
82,9.0554,9.0547,0.000698,0.18 LSB,PASS
83,9.1104,9.1094,0.001059,0.27 LSB,PASS
84,9.1652,9.1641,0.001089,0.28 LSB,PASS
85,9.2195,9.2188,0.000794,0.20 LSB,PASS
86,9.2736,9.2734,0.000181,0.05 LSB,PASS
87,9.3274,9.3281,0.000746,0.19 LSB,PASS
88,9.3808,9.3789,0.001925,0.49 LSB,PASS
89,9.434,9.4336,0.000387,0.10 LSB,PASS
90,9.4868,9.4883,0.001448,0.37 LSB,PASS
91,9.5394,9.5391,0.00033,0.08 LSB,PASS
92,9.5917,9.5898,0.001819,0.47 LSB,PASS
93,9.6437,9.6445,0.00088,0.23 LSB,PASS
94,9.6954,9.6953,0.000047,0.01 LSB,PASS
95,9.7468,9.7461,0.000701,0.18 LSB,PASS
96,9.798,9.7969,0.001084,0.28 LSB,PASS
97,9.8489,9.8477,0.001202,0.31 LSB,PASS
98,9.8995,9.8984,0.001057,0.27 LSB,PASS
99,9.9499,9.9492,0.000656,0.17 LSB,PASS
100,10,10,0,0.00 LSB,PASS
101,10.0499,10.0508,0.000906,0.23 LSB,PASS
102,10.0995,10.0977,0.001849,0.47 LSB,PASS
103,10.1489,10.1484,0.000454,0.12 LSB,PASS
104,10.198,10.1992,0.00118,0.30 LSB,PASS
105,10.247,10.2461,0.000857,0.22 LSB,PASS
106,10.2956,10.2969,0.001245,0.32 LSB,PASS
107,10.3441,10.3438,0.00033,0.08 LSB,PASS
108,10.3923,10.3906,0.00168,0.43 LSB,PASS
109,10.4403,10.4414,0.0011,0.28 LSB,PASS
110,10.4881,10.4883,0.000193,0.05 LSB,PASS
111,10.5357,10.5352,0.000498,0.13 LSB,PASS
112,10.583,10.582,0.000974,0.25 LSB,PASS
113,10.6301,10.6289,0.00124,0.32 LSB,PASS
114,10.6771,10.6758,0.001297,0.33 LSB,PASS
115,10.7238,10.7227,0.001149,0.29 LSB,PASS
116,10.7703,10.7695,0.000798,0.20 LSB,PASS
117,10.8167,10.8164,0.000248,0.06 LSB,PASS
118,10.8628,10.8633,0.000501,0.13 LSB,PASS
119,10.9087,10.9102,0.001444,0.37 LSB,PASS
120,10.9545,10.9531,0.001326,0.34 LSB,PASS
121,11,11,0,0.00 LSB,PASS
122,11.0454,11.0469,0.001514,0.39 LSB,PASS
123,11.0905,11.0898,0.000693,0.18 LSB,PASS
124,11.1355,11.1367,0.00119,0.30 LSB,PASS
125,11.1803,11.1797,0.000652,0.17 LSB,PASS
126,11.225,11.2266,0.00159,0.41 LSB,PASS
127,11.2694,11.2695,0.000104,0.03 LSB,PASS
128,11.3137,11.3125,0.001208,0.31 LSB,PASS
129,11.3578,11.3594,0.001558,0.40 LSB,PASS
130,11.4018,11.4023,0.000589,0.15 LSB,PASS
131,11.4455,11.4453,0.000211,0.05 LSB,PASS
132,11.4891,11.4883,0.000844,0.22 LSB,PASS
133,11.5326,11.5312,0.001313,0.34 LSB,PASS
134,11.5758,11.5742,0.001618,0.41 LSB,PASS
135,11.619,11.6172,0.001763,0.45 LSB,PASS
136,11.6619,11.6602,0.001748,0.45 LSB,PASS
137,11.7047,11.7031,0.001575,0.40 LSB,PASS
138,11.7473,11.7461,0.001246,0.32 LSB,PASS
139,11.7898,11.7891,0.000764,0.20 LSB,PASS
140,11.8322,11.832,0.000128,0.03 LSB,PASS
141,11.8743,11.875,0.000658,0.17 LSB,PASS
142,11.9164,11.918,0.001593,0.41 LSB,PASS
143,11.9583,11.957,0.001229,0.31 LSB,PASS
144,12,12,0,0.00 LSB,PASS
145,12.0416,12.043,0.001374,0.35 LSB,PASS
146,12.083,12.082,0.001015,0.26 LSB,PASS
147,12.1244,12.125,0.000644,0.16 LSB,PASS
148,12.1655,12.1641,0.001463,0.37 LSB,PASS
149,12.2066,12.207,0.000476,0.12 LSB,PASS
150,12.2474,12.2461,0.001355,0.35 LSB,PASS
151,12.2882,12.2891,0.000857,0.22 LSB,PASS
152,12.3288,12.3281,0.000703,0.18 LSB,PASS
153,12.3693,12.3711,0.001777,0.45 LSB,PASS
154,12.4097,12.4102,0.000483,0.12 LSB,PASS
155,12.4499,12.4492,0.000681,0.17 LSB,PASS
156,12.49,12.4883,0.001715,0.44 LSB,PASS
157,12.53,12.5312,0.001286,0.33 LSB,PASS
158,12.5698,12.5703,0.000507,0.13 LSB,PASS
159,12.6095,12.6094,0.000145,0.04 LSB,PASS
